"","notact_004","notact_007","notact_008","notact_009","notact_010","notact_011","notact_014","act12h_018","act12h_019","act12h_020","act24h_023","act48h_026","act48h_027","act72h_028","act72h_029","act72h_030","act96h_032","act96h_034"
"APOA2",1889.33039237074,2064.27428559142,1241.07360844035,981.005853902753,681.640153953279,375.233263003967,397.252022279226,3353.29643198551,6020.87225172945,1505.28523265497,2374.93641344153,2556.84930020193,964.41671378588,330.779688809699,180.105637646018,107.545927321711,1829.61115289776,454.147577341505
"APOA4",3052.74949124112,1593.31394151983,1701.35984021166,1927.31563332345,1962.49758205684,1880.79334610386,3840.59705888031,2360.40420405156,3878.20399451354,1549.08871374927,1551.55767752646,1066.71440737256,410.797499891421,198.372802801543,276.142584339206,216.35421807105,615.70449836098,369.617677913004
"APOB",6561.90900316327,4452.83299314149,4136.6577442738,4593.75820071638,2040.21823934194,2371.49201272397,2831.01219526425,7459.96356675103,15248.2342194683,2637.82457302444,1897.4492979077,1923.02838533922,877.671091030195,555.213206997367,538.329714063072,498.18761147176,1791.06054721676,825.79703380229
"APOBEC3B",0,0,0,0,0,0,0,0,0,0,0,4.60042837266226,2.88737411020196,0,0,0,12.0011653881659,1.15445831251435
"APOBEC3C",5.30978491617188,6.8612233270652,24.3227562312755,15.4193773899708,20.8273810110217,25.6431663615055,8.29037958809167,9.93043330017148,8.44118218220794,14.3206787134197,8.32766786513973,31.942076775702,20.6192594538475,61.12903544325,63.6167711092605,59.8717368151203,57.646687211812,51.6198776875034
"APOBEC3D",6.57227548673516,4.52404974313518,7.22994902576416,7.87365749425724,14.5442276450862,7.49758264069674,1.54375827293531,0.963371974994415,0.958238604262272,2.61431820165036,4.4029784804223,4.80097469689885,0,6.70357133040996,28.015132236737,22.4559548271978,18.8389839824707,26.7204781501433
"APOBEC3F",0,0,2.41690466769801,0,0,0,2.34879138817894,0,0,0,0,0,0,5.96994638624301,9.48157789761593,9.87024999642421,6.55253908174532,9.10920093395654
"APOBEC3G",46.5551549191778,28.2677417857896,27.1675278115047,4.13467408397101,31.1504517893509,21.2724714880713,7.65874849340628,24.2611772374051,39.9127353547989,75.5376055410589,17.5360653972245,27.2007937522907,14.8330149631654,93.2207544404592,131.672170317721,93.7545757783174,205.386157506715,83.585365206946
"APOBR",7.70676969658839,10.8111793266288,12.2784884422303,8.94753371662432,9.15032297583016,11.4596039564725,52.9891139428918,1.22554052452796,1.34679940866425,7.60589444329278,1.913314199649,4.03385042909179,5.18180088633197,6.85714436588653,7.16107280063509,8.12046740087516,29.9557605897581,9.17866785982843
"APOC1",548.199481348265,458.359438403833,343.283913503919,554.507424541156,156.636301406644,184.117535792673,367.529238587528,592.438505299176,937.449484032821,299.508193548534,386.383459161797,394.599710942601,115.097221493154,86.8459883517429,39.6584581914027,78.5996802890168,191.629958923693,72.6078429150494
