"","[example-data] act_vs_notact","[example-data] act12h_vs_notact","[example-data] act24h_vs_notact","[example-data] act48h_vs_notact","[example-data] act72h_vs_notact","[example-data] act96h_vs_notact","[GSE157905-lenvatinib-bc] treatment:Combi_vs_CT","[GSE157905-lenvatinib-bc] treatment:Gefitinib_vs_CT","[GSE157905-lenvatinib-bc] treatment:Lenvatinib_vs_CT","[GSE88808-prostate] old_normal_vs_young_normal","[GSE88808-prostate] old_tumor_vs_old_normal","[GSE88808-prostate] old_tumor_vs_young_tumor","[GSE88808-prostate] young_tumor_vs_young_normal"
"MLF1IP",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.205075106869191,0.58450675807476,-0.186416752636004,0.565848403841573
"PAPPA",NA,NA,NA,NA,NA,NA,-0.473326026182332,0.19832668273664,-0.0399601551126754,0.204917897627257,-0.201999702371044,0.164764506970266,-0.161846311714053
"ROCK2",-0.394832977856439,-0.296231214370372,-0.0842557013737471,-0.443530559622996,-0.661807895687741,-0.300515819863447,-0.381479799215288,-0.209318269705477,0.00145568758221929,NA,NA,NA,NA
"PTPRN2",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0940100283886383,0.786736728129347,0.0270707320173932,0.665655967723315
"PBDC1",0.521827548330141,0.653533738579827,0.353869909184608,0.466666670638307,0.648437204005592,0.319464146665634,0.21099013838745,0.307099948387747,0.0627023544896845,NA,NA,NA,NA
"SLC7A7",NA,NA,NA,NA,NA,NA,1.18811156959905,0.446221326824274,0.0191226492184737,NA,NA,NA,NA
"BAG6",0.917869605848984,0.367832271835654,1.05434192255124,1.13283062133503,1.15373402494365,1.05733280882286,NA,NA,NA,NA,NA,NA,NA
"MPRIP",-0.444461509309825,-0.566963496478781,-0.97275650337338,-0.565140179360985,-0.0803490290942435,-0.339022058677101,NA,NA,NA,NA,NA,NA,NA
"BRSK2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.246431521647409,0.500041576477024,-0.154740052700407,0.90121315082484
"ARL6IP4",-0.960039322031824,-0.422954421322869,-1.05812033905251,-1.22556924537681,-1.22088966067928,-1.01945336689714,NA,NA,NA,NA,NA,NA,NA
"ATXN10",0.561307405475768,0.340420202299595,0.915792590526557,0.977819761111489,0.552095367427767,0.249657900631062,NA,NA,NA,NA,NA,NA,NA
"IGFN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0170824577566989,0.906236114897633,0.159277773989568,0.729875883151366
"PVRL3",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.187674705082596,0.690394297556191,-0.0672245615983635,0.569944154071959
"LY6E",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.254873312273878,-0.477342374915702,0.288850296984108,-0.511319359625933
"LZIC",-0.539928471745846,-0.311511633744987,-0.0758807570525946,-0.812675971409014,-0.553498194322906,-0.848350076996025,NA,NA,NA,NA,NA,NA,NA
"ARF4",1.36040580754768,1.18508718301114,1.19456363726537,1.91134148507312,1.40478579075577,1.09256328321971,NA,NA,NA,NA,NA,NA,NA
"SFSWAP",1.31550763855012,1.31855548623138,1.87333632273659,1.49791817468482,1.12711495189162,1.05205385452527,NA,NA,NA,NA,NA,NA,NA
"FAM171A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.197710389378171,0.441822382005155,-0.315527408608904,0.559639401235887
"SLC25A37",0.584935090075974,0.283793572974346,0.123582469946634,0.678446481525071,0.843997822490964,0.83043399150454,NA,NA,NA,NA,NA,NA,NA
"DRAP1",-0.582111296584672,-0.0566020372396981,-0.570663451317986,-0.897510751252984,-0.797388674285901,-0.705561779170738,NA,NA,NA,NA,NA,NA,NA
