 	CD8+ T cells	CD4+ T cells	CD4Tcell-Th1-restimulated12hour	CD4Tcell-Th1-restimulated48hour	CD4Tcell-Th2-restimulated12hour	CD4Tcell-Th2-restimulated48hour	MemoryTcell-RO-unactivated	MemoryTcell-RO-activated	NKcell-control	NKcell-IL2stimulated	NKcell-IL15stimulated	Bcell-naive	Bcell-Memory_IgG_IgA	Bcell-Memory_IgM	PlasmaCell-FromPBMC	PlasmaCell-FromBoneMarrow	Monocyte-Day0	Monocyte-Day1	Monocyte-Day7	DendriticCell-Control	DendriticCell-LPSstimulated	Neutrophil-Resting
COQ3	8.888959333	8.110603366	10.18723514	10.52669354	9.536631883	9.803678023	8.378787593	9.859544104	8.381411005	8.341047299	8.43973394	8.284329708	8.321304671	8.055306842	9.212075614	7.677721403	7.447475195	7.310481002	8.308430808	7.995201831	7.492976091	7.794249492
NUDT12	4.743043651	5.528623408	3.945794957	4.991045593	3.853197255	2.818100666	5.173154091	4.548128324	4.697481938	5.200567127	5.643033619	6.711642394	5.178585183	6.4995629	3.122507073	6.226811949	5.266324305	5.051538869	7.410645677	6.909333093	5.970520085	5.668612725
PSD2	6.22044121	6.105070402	5.918195389	5.981083924	6.792851016	6.175591132	6.500318737	5.974621084	7.409367598	7.029099457	5.837430305	8.040721036	7.175342456	7.502871575	7.722666385	8.996599181	6.382296907	6.174844144	6.013659519	6.163743589	6.640654666	7.894698948
ANKRD32	8.443280293	8.376054465	10.48735671	11.02832442	10.14816004	10.61822519	8.803090313	9.952324829	8.694410997	9.846482033	9.84008709	9.036237208	7.978754783	8.473136473	8.087556543	7.687715101	7.31989562	6.196510329	7.61157754	8.154339662	6.617359711	9.369825019
PDZD4	8.032053995	5.027198294	4.336640446	5.048788369	4.247800955	5.114255959	8.542136788	4.554998069	8.722722162	7.636011164	7.368496276	5.81636565	6.903279342	5.789514083	6.761648738	5.644872931	4.499707722	5.269740727	4.702348177	4.919173205	4.566125093	5.831056374
PKIB	6.563447983	6.995838742	6.103738908	6.458108542	5.175697576	5.937587646	6.50842337	5.951844197	6.829957352	7.217916997	6.482958503	8.472234187	8.457598396	8.326883348	6.724782131	7.919226846	6.821447679	6.458777066	6.277575678	11.05222194	7.820420455	8.180900726
LRRC4	5.108242163	5.745999181	5.06501215	5.437349823	5.044175513	4.754531237	5.303585941	5.256281038	5.690067834	5.163321605	4.92463834	5.693323662	5.733544156	5.826523065	5.676126337	6.274252341	5.526157516	5.899979187	5.120013181	5.055137797	5.369960791	10.04333575
DOK3	8.114925264	8.180784391	7.57952714	8.201447632	7.862868749	7.625277796	7.830458164	7.397146938	9.137370955	8.317668568	8.028831567	9.761971443	10.20424039	10.25131464	10.97984077	10.06226475	12.46379296	12.55775171	12.00250358	11.46047637	9.483723759	13.21229921
MGC29506	7.824175942	7.062557086	7.348506865	7.534987587	6.755399479	6.518655778	5.140669604	6.869094095	4.040212994	6.936249242	6.479462324	8.286721444	9.306945155	9.268223251	14.55485	14.47927568	5.016711733	4.108182909	4.795022278	4.967983199	4.02836287	5.554036224
SEMA6B	4.641863896	4.8609297	3.830255324	5.045690505	3.755528558	4.627062029	4.669499269	3.305046356	4.085700829	5.542610941	4.666074843	4.482710016	5.199279721	4.505541643	6.891099147	4.640678764	5.804090139	8.973263991	9.046456273	5.703580632	7.164087324	4.491198926
