Gene,CD14_positive_monocyte,CD16_positive_monocyte,CD4_positive_alpha_beta_T_cell,CD56bright_natural_killer_cell,CD56dim_natural_killer_cell,CD8_positive_alpha_beta_T_cell,MAST_cell,basophil,eosinophil,gamma_delta_T_cell,hematopoietic_progenitor,macrophage_m0,macrophage_m1,macrophage_m2,memory_B_cell,myeloid_dendritic_cell,naive_B_cell,neutrophil,plasma_cell,plasmacytoid_dendritic_cell
PTTG2,13.24100657,13.21179343,27.90648458,34.94482618,9.337961832,26.15085808,18.64063061,25.44243448,12.82290071,17.98514338,8.546223392,23.54152693,47.70592128,43.38671748,17.33305667,20.54781947,20.32234439,26.94273621,9.55103472,45.21404696
QPRT,26.07350879,56.57070479,28.50476833,28.99579625,28.56441514,26.64745261,93.17808369,29.60114877,17.24969996,29.60997978,82.68079796,41.05349201,47.82858953,262.2195692,20.06874114,43.40439873,16.62845877,30.65533091,100.2792326,71.91527891
RAB9A,202.1099626,230.4590459,115.5462833,164.4978571,193.0434135,168.4145525,94.81800353,231.1462732,142.7202766,213.0015105,213.2617836,210.0232278,334.0773054,314.4834704,117.6899621,759.2464686,112.6560829,136.1018168,198.7262441,159.4117157
RAMP1,27.56631678,20.23627547,30.16397238,60.14600509,48.18629307,29.83861422,29.20721,15.524146,22.90449525,43.1231342,42.53700947,33.58639292,22.13847068,192.5926091,22.0824959,149.7213396,20.7638077,35.90370903,44.59227288,124.1676548
RARRES2,17.36619803,24.32616325,18.25109405,13.93728094,26.54872603,14.93854033,9.304641076,18.60401972,20.66263073,11.14548953,19.95755335,22.8004139,17.23022641,14.77529764,21.00016901,23.10602964,19.15199898,36.1118421,13.3930145,265.7376514
RETN,89.1250216,76.80643688,30.15636884,23.91568441,24.12848528,23.79798307,22.38537105,24.07131459,15.55151179,18.60933256,30.80805707,25.83344078,15.70253271,13.80782354,17.07861424,24.32723479,15.52906917,41.7696246,22.40102666,31.96371749
RNASE1,22.78342966,20.36525666,20.19513756,16.3624904,19.81050121,14.83435711,18.63683172,16.39812,18.88088996,12.99346317,25.75848108,535.9002635,98.18999294,293.2965946,14.86287016,54.14938109,19.07772968,21.783092,19.09953841,48.52735534
RNASE4,71.0216947,28.6183543,24.32127794,16.63778553,17.12555643,14.12522889,12.08074218,22.21503062,8.283444473,19.94593058,20.17916031,34.55304377,40.49425713,42.01000477,34.98040623,38.03240114,15.30665176,19.33838641,39.58695187,22.32229364
RNF122,54.71556386,121.3380482,38.80654871,39.72706585,39.72723432,37.63997544,35.36693635,52.94285885,62.40676909,35.78510974,38.82806479,60.20054263,33.33754806,31.9262277,33.31944712,41.32786713,48.46965891,92.69415809,148.0699682,32.21021005
RPL7,164.1361825,248.2016049,393.3765809,96.48985148,852.5950874,420.3726686,126.8657874,298.8231918,98.33919218,118.7687505,330.1201538,63.05588815,121.9572102,185.192881,504.5586973,388.134499,1033.574633,87.50627636,217.995344,79.76058618
