"","Bmem_A","Bmem_S","Bnav_A","Bnav_S","Bplasma_S","BSph_S","ESph_S","mDC_A","mDC_S","MOcl_A","MOcl_S","MOim_S","MOnc_S","mTregs_A","mTregs_S","NKbri_A","NKbri_S","NKdim_A","NKdim_S","NTph_S","nTregs_A","nTregs_S","pDC_A","pDC_S","T4cm_A","T4cm_S","T4em_A","T4em_S","T4emra_A","T4emra_S","T4nav_A","T4nav_S","T8cm_A","T8cm_S","T8em_A","T8em_S","T8emra_A","T8emra_S","T8nav_A","T8nav_S","Th1_S","Th17_S","Th2_S"
"FAM134C",25097.5,8242.5,37869.25,6801.75,3818.75,5694.25,6022.75,23676.25,22717.5,17388,18996.75,28139.75,46014.5,8566.33333333333,16110.25,9200.66666666667,13829.5,12687.3333333333,19603.75,16881.5,5704.33333333333,7992.75,23669.25,47986,9525,15320.5,11651.25,17067.25,6699.5,6217,4144.75,9407,21721.5,13714,12409.75,11679.5,6484.5,17500,6691,6342.25,13765.5,17539,13285
"FAM136A",101093,200393.5,182330.5,106086.25,360729.75,143476.25,58940.75,240507.75,243380.5,309032.333333333,188569.5,330088.25,192420.75,48050.6666666667,40086.5,46216.3333333333,99453.25,104215.666666667,35677.75,50052.5,323701.333333333,22490.25,95653.75,145407.5,251108.75,36812.75,359454.25,48113.75,310289.5,33928.75,173676.5,22716.25,245043.5,18707.75,92518.75,35858,74332,35148,152543,19693.25,37631,34991.5,63983.5
"FAM160A2",6681.75,290.75,7496.5,0,0,1440.75,6701,6543.25,4304.25,56679.6666666667,23356.25,20213.25,8667,939,3165.25,14542,4846.75,4584.66666666667,2691.5,3387.25,10463,0,302.5,2659.25,3394.75,3286.25,13463,5044.75,4684.5,3114.25,4303.25,2127,3188.75,2573,2208.5,3086.75,1886,3819.25,4183.75,2097,3464.75,3808.5,3810.5
"FAM160B1",22195.75,13626,33105.5,7470,9935,26713.5,6339.5,31275,24063.75,16782.6666666667,49043.75,51831.25,42054.25,13560.3333333333,50162.25,24560.6666666667,20550,17829,20524,132575.5,59861.3333333333,16657.5,13751.5,27084.5,52340.5,30051,57550.75,39070.75,41014.25,14484.5,20661.75,10761.5,45093.25,19056.5,33295,28480,12849.75,31013,17265,14275.75,17240.25,35338,24370.75
"FAM160B2",6545.25,2544,11594,1264.75,0,5875,2925.75,10224,6379,9334.33333333333,11010,17556.25,11828.5,1206.33333333333,8923.25,6272.33333333333,4544,7772,4603.25,54820.75,17766.6666666667,3279.75,6345.25,7550,15795,6436.25,20838.5,7573.75,9278.75,2597.25,10143.75,2229.25,13152,5578.25,13628,5370.5,5426.25,5286.75,6778.25,2626.5,5637.25,5767.5,4019.25
"FAM162A",352799.25,79978.25,321127.75,55632.75,24111,8325.25,23884.25,374213.25,306656.25,66537.6666666667,42635.75,149586.5,319017.5,39019.3333333333,216215,289588,162878.5,146545,90906.25,143519,909305.666666667,202297.75,36555,109604.25,1229916.25,315940.75,1067628.25,241564,1098994.75,140617,407711.25,325813.75,662129.5,245175.5,528101.25,236783.75,201860,202710,766490,334475,110886.5,245969.75,198780
"FAM168A",0,2219.5,0,136.25,0,2001.25,0,0,2778,0,6154.25,4202.5,2907,0,1083,0,4016,0,552.75,1975.75,892.333333333333,3021,0,0,0,611.25,0,0,0,0,1087.75,942,0,594.75,0,3107.25,0,3151,0,3464.25,2343.75,0,2158.25
"FAM168B",0,0,3983.75,0,0,719.75,1945.75,0,0,0,0,0,0,0,2526.5,5342.33333333333,1238.25,1908,414,0,9723.66666666667,0,918.25,3711,0,1246.5,0,0,0,0,2497.75,0,5262.25,1529,3801.25,1078,1525.25,2975.25,1706,3251,1850.75,0,797.75
"FAM169A",9356.25,28633.5,12328.75,51152.25,830,185.25,0,1703.25,3340.5,7237.66666666667,1504.75,1845.75,5455,4491.33333333333,6829.5,5473.33333333333,32257,1489.66666666667,87957.25,3029.25,10296,31403.5,5075.5,6184.5,4252,56446.75,1636.5,18792.25,2521.25,19724.5,6090,70083.75,6169,44645.75,5208,55891,5176.5,34115,11397.75,99304.75,19265.75,39842.5,64262.5
"FAM172A",9560.25,29264.25,17017.75,15952.25,0,13457,9050.75,21808,24265.75,1834.33333333333,7179.25,28903.75,23793.75,1138.66666666667,14205.75,5604.33333333333,15619.75,5917,15845.75,60081.25,6324,13621,6252,19021.75,5858.75,12202.75,7586.25,11505.25,5137.5,9166,4158.5,14201.25,5044.5,11050,4424.5,11769.25,1925.25,21065.75,3922.5,16029.25,11668,9519,13188.5
"FAM175A",21495.75,30926.25,17932.25,19842,50,7365,38659.5,3430.5,4941.75,8932.66666666667,6520.75,11041.25,7586.5,0,17663,4304.33333333333,20715.25,1399,8548.5,103979.5,4032,16047.25,2278,10325,6715.5,29389.75,6521.5,21644.75,3417.75,6784,9804.75,28037,7508.75,17343.75,7271.75,18679.75,5575.75,14300.25,6700,21395.5,13375,28045,25439
"FAM175B",112538.5,66692.5,161184.5,47872,7796.25,99690.25,55681.5,97974.25,140368.5,101041.666666667,104468,185123,116098.75,11107.3333333333,57133.25,36902.3333333333,61774.25,42339,44902.25,264429.5,87961.6666666667,53861.5,62646.75,141053.25,81368.75,71263,106376.75,56373.25,82246.75,49383,50718.25,58283.75,75218.5,61946.5,63829.75,74525.75,41606.75,69877.75,49103.75,60256.75,64168,56486.75,67280.5
"FAM177A1",35757.75,0,33706.5,1765.25,3603,8258.5,11456,31854.5,2861,17228.3333333333,17571.5,16895.5,39705.75,7244,4711,18497.6666666667,3342.75,12722,5418.25,73640.25,5347.33333333333,7464.5,15907.5,11486.75,14615.25,9243.25,18489.75,11511.5,54382,20534.5,17664,6955.75,21958.75,3250.5,21033.75,5278.75,7550.75,1727.5,17779.75,3307.25,2612.75,2146.5,18318.25
"FAM185A",5936,0,2951,0,0,0,0,3688,0,15066.3333333333,0,0,0,0,0,0,0,0,0,0,28406.6666666667,0,1155.75,0,38242.75,0,24447.5,0,14919,0,0,0,4066.75,0,0,0,0,0,0,0,0,0,0
"FAM192A",39372.5,52347.25,61863.5,27862.75,32864.25,16485.5,18245.5,49339.5,68098.5,31453,17284,31670.75,31662.25,8543.66666666667,16097.75,44304.6666666667,28393.75,26226,22457.75,59031,151497,19752,28519,36721.25,106488,9534.75,110504.75,8584.25,131413,10601,46230.25,12939.5,66128,11213.25,51056.5,13824.75,30094.5,12167,57530.75,13249,9491.25,12488.75,17527.25
"FAM193A",202.25,178.5,1395.75,0,0,607.25,118.75,1107.75,845,8891.66666666667,658.5,1806.25,1629.75,1866.33333333333,309,595,73.5,504.666666666667,64.75,1886.25,1932.66666666667,424.25,1498.5,481.5,927.25,557,1119.5,205.5,948.5,153.5,327,553.75,1224.75,81.75,766,279.5,142.75,515.25,451,195.5,1141.25,209.5,221.5
"FAM195B",173231.5,90974.25,333307.5,39374.5,64502,31549,26897.5,164924.75,151843.25,93096.3333333333,147150,197759.25,163148.5,48896.6666666667,71087.5,168971.333333333,95683.5,94254.3333333333,78721.75,708446.25,106442.666666667,58377,72995.5,171750.5,132633,75701.25,182458,64556.25,110605.25,74094.25,133990.25,44301.25,100730.5,64000.5,86386.25,54008.5,84012.25,59834.75,66849.25,49061,48942.5,55257,138899.5
"FAM198B",21500,0,0,0,18159.75,63482,0,11052,10501.25,9534,41321.75,24017.5,22657.5,14072.3333333333,0,1565,0,1664.33333333333,0,37107.5,0,8220,4589,28162.5,7491.75,6467,5490.75,10998.75,0,27089.75,5138,11773.5,18916.5,3586.5,0,11941.25,24080,1944.75,9283,5857.75,0,6646,9123.5
"FAM205CP",0,0,0,881.75,4509,0,23417,0,0,0,0,0,0,0,0,0,0,0,1705.5,264984,0,0,0,0,0,0,0,0,0,0,0,0,0,2953.75,0,0,0,0,0,3388,0,0,0
"FAM206A",4447.25,214.75,13664.25,0,1194.75,824,0,12986.5,6870.25,5037,1926,6746.5,5776.75,0,2102,2676.66666666667,10576.25,6796.66666666667,1876.25,0,7124.66666666667,3447.5,13719.25,10423.75,7015.25,3903,21103.5,3437.75,11081.5,1117.75,3526.5,4048.5,9385.25,618,7147.75,4346,4165,4559.5,5292,2251.5,699,1218.25,1950
"FAM207A",29325.5,2900.25,46766,4692.25,2383,541.5,0,7778.25,5007.75,6804.66666666667,4711.75,4360.25,6188,1442,7564.5,13288.3333333333,6782.5,33361.3333333333,2237.5,17368,43908,8342.75,5499.25,16334.5,79478.75,5559.5,83637.25,2800,75473,508.25,48259.75,4977,110544.75,7460.25,75251.75,5312.75,35600.25,5358.25,49499.5,10208.25,3848.5,3066.5,3790.5
"FAM208A",37389.5,15284,47177.75,12371.25,2301.25,8232,4832,9984,24573,3979,25182.5,44531.75,39102.5,1997.33333333333,25314,29458.3333333333,33797.25,25520.6666666667,16396.5,16107.5,34012.3333333333,14906,12904.25,27371,36520.75,24113.25,42373.75,23261.25,31498.75,8285.5,29226.5,24741.5,40773.75,25940.5,31756.75,24428.5,21996.75,26061.5,31636.5,28752.75,21094.75,24293,20419.75
"FAM208B",18292.25,9125.5,17171.5,10911.25,237,51314.25,32904,12967,17145.5,26118,61724.5,57717.5,51785.75,3994.33333333333,12398.75,10422,14749.75,5532.66666666667,6935.75,17090.5,9764.33333333333,8425.5,5168.25,12151.5,22651.5,11564,28560.5,18153.5,10174,5473.25,7060,13473.5,7232.75,6396.75,9799,10397.25,6982,25290.5,8780.25,30551.75,20466.75,4410.25,3101
"FAM20B",0,2244,1723.25,1463,0,3244.25,447.75,0,7242,0,12407.5,10781.25,14086.25,0,2132.5,5843,5090,2299.33333333333,3406.75,10293.5,3545.66666666667,1357.5,2000.25,6450,4696.25,4039.75,2933,4947.25,5110.75,462.25,1365.75,2788.25,0,4308,3576.25,3551.5,4121,1800.75,1237,2714.75,2050,2911.75,1465.75
"FAM210A",26313,13453.5,26951.5,22007.25,1568,4553.75,9590,13194.25,16336,19213.3333333333,13314.25,30911,21122,2089.66666666667,11676.75,23776.6666666667,13423.25,20737.6666666667,11561.5,0,34781.3333333333,2709.75,9418.75,7263.75,46030.25,6180.5,47638,2459.25,36187,8699.5,32313.75,6968,47791.25,13463.75,30999.75,9037.75,19824.25,13563.5,32549.75,12049.25,8787.5,4951.25,6058.75
"FAM210B",355.25,672,0,3506.25,0,0,899.5,0,5513,0,15710.25,571.75,5738.75,0,11953.5,0,5162,1361,4418.5,0,0,9714.5,1190.75,6184.25,0,9746.25,0,11555.25,0,6446.25,808,9402.25,1199.5,11688.5,521,11591,414,7188.25,2816.75,8655.75,4443,10633.25,8027
"FAM213A",25347,23951.5,17515.5,24896.75,824.25,9925.25,12569,2083,40980.25,0,43048.5,56043.25,45338.5,971.666666666667,1885.25,8338.33333333333,10596.75,1566.66666666667,16013.75,6222.25,4667.33333333333,48891.25,237333.5,1039923.5,10666.25,26178.5,3695.75,8901.5,18532.75,13158.5,15179.25,77744.75,36525.5,26861.25,14228.5,16580,2775.5,11818.25,25628,71371.75,11519.75,9601.75,17564
"FAM213B",28600.75,16529.75,23688.25,10456.25,40149.5,18252.75,1271.25,16047,21994.75,23059.3333333333,19261.25,55323,22591.5,30427.6666666667,121577.5,29975,83545,26272.3333333333,10859.75,15128.5,59531,102027.5,2658.75,1320.5,24166,86280.75,38773.75,112183.5,27926.25,34860,37450.5,64604.5,62067.25,94407.25,18917.5,55865,5106.25,29607.25,43821.75,111535.75,39043,90798.75,113720.5
"FAM21A",1605,794.75,2352.25,627.25,1610.5,1021.75,0,3194.5,2655.75,21977.3333333333,2339,4151,4004.75,0,656.25,804,708.5,592.333333333333,178,2017.25,963.333333333333,851.75,1328.5,1645,2132.25,715,3110.75,889.25,2314,108.75,652.5,531.5,697.5,660.5,1139.5,995.5,144,366.25,711.5,598.75,396.75,854.5,1336.5
"FAM21C",40388.5,32957.5,53810.25,19995.25,10505,19805.5,19650.75,45519.25,49150.5,52947.6666666667,62658.75,128950,79554.75,3729.66666666667,16661.25,23315.6666666667,22476.25,20416,12346.5,100861,34152,14020,28346,48521.5,27851.5,24168.5,40931,23963.25,30982.5,11663.25,26210.5,15294.75,25756.5,15047.25,22540,20404.5,12268.75,16625.5,22376.75,16574,15409.75,19943.75,21113
"FAM26F",665.5,0,2459.5,0,8011.75,0,37147.75,0,14701.25,11816.3333333333,0,34475.25,37188,0,9824.25,0,6433.5,0,0,43258.5,4466.66666666667,0,4026.75,0,933.5,353.5,528.25,0,439,0,0,0,8064.5,0,7721.25,6493,0,27104.25,17991.25,0,402,0,0
"FAM32A",82200.25,146011.75,144639.25,99043.5,29357.5,54576.5,46241.5,66886,47013.75,49040.3333333333,39328.5,127438.5,122392.75,81031.3333333333,32669,30310.6666666667,36749,37088.6666666667,39625,1860870.5,58816,39023.75,45864.75,26413.25,110953,33682.25,117856.5,32601.5,77543.75,37666.25,39253.5,49437,71335.5,25401,43835.5,18105.25,23141.25,51046.25,44466.75,31855,46848.5,27050.5,34049.5
"FAM3A",0,1773,0,0,16051.75,925,0,0,1920.25,0,3212.5,0,12182,15681.3333333333,4272.5,0,3549.5,3629.66666666667,2159,0,0,1636.75,0,6915.5,0,1124.5,0,1665,0,3135.5,0,0,0,5137,0,0,0,3729.75,0,2718.25,0,0,1251.25
"FAM3C",389078.75,213636.75,477642,177426.25,232824,34134.5,11981.75,218603.75,115625.25,102838.666666667,81791.5,264997.75,247177.75,10414.6666666667,67881.25,672208.666666667,98892.25,696885.666666667,154058,1066393.75,72970.6666666667,27250.75,181134.25,167535.5,244696.5,38476.5,260030,85525.25,258455.25,39458.75,80515,42114.75,203545,58767.75,350631.25,118027.75,239814.5,105110,180250.25,35013.25,24466,37561.75,25173
"FAM45A",22010.75,11994,52084,7238.75,11822,78210.5,60190.25,64731,46670.25,165377.333333333,181966.25,335095.5,236294.5,11156.3333333333,37708.25,32328,24943.25,32605,15480.5,78368.5,83266.6666666667,26668.5,14244,35448,106633,36322.25,87065.75,40891,64351.25,17828,51900.25,8892.25,63341.25,27396.5,36283.75,22823.5,22687.75,32929.25,28008.75,14523.75,22094.25,39377.75,33098.25
"FAM49A",143539.5,88469,101010.25,28506.25,8501.75,2629,21593.5,1112950.75,213067,201851.333333333,96654.5,516943,378692.75,760,219.25,25450.3333333333,137641.5,14026.3333333333,62985,73626,2515,3613.75,261748.75,189745.25,0,999.5,255,2541,4995.75,15200.75,641.5,242,753,2460.75,13405.5,21759,30683.5,68951.75,0,786.25,71033.5,529.5,97.25
"FAM49B",1270740.75,624225.75,1962444.25,309637.75,111215.25,1137938.25,1129434,2428235,2510763.25,1972507,2005806.5,3340997.5,2708976.75,323249,840125,1081064.66666667,1089651.75,727787.666666667,1382613,4075818.25,1094703.66666667,596897,1828318.25,2407267,909241.75,695794.5,1105959,791373.25,721948,753816,658008.75,596491.75,625894.5,623232,549715.5,941535.25,375517.25,1237274.25,583081.75,834134.25,539340.5,706445,674539.5
"FAM50A",108503.5,42203.75,153923.75,17561.75,35843.5,37176.75,19420.75,113699,114194.5,88713.6666666667,76215.25,115876.5,133956.5,41119,51175,91518.6666666667,59921.75,87849,44659.5,134061.5,160331.666666667,46615.5,48106.25,38966.5,140332.75,82083.5,166933.75,73009,140392,50960.25,71143,36710,107649.5,56827,77943,62656.75,62619.75,47798.75,89893.5,36112.5,30813,62866.75,59995.5
"FAM50B",577.5,558,1103.25,771,0,0,0,899.75,782,0,732.75,0,0,560,2922,1335.33333333333,2653,637.666666666667,748.75,0,854.666666666667,1202.25,408,899.75,1107.5,1714.75,3728.25,2367,0,871.75,2088.25,2149,1724.25,1108.5,874.75,699.5,238.75,174.75,1908,2234.75,585.75,2772.25,1130
"FAM53B",0,389.75,0,888.25,0,0,0,0,0,0,0,0,578.75,0,2102.75,0,0,0,1845.25,55002,0,0,0,380.75,1671,921,0,1479.25,491.75,573,0,0,1938,1236,1506.5,2092.25,941.5,1769,429,190.5,521.5,1704,1157.75
"FAM53C",4171.5,0,0,548.5,1035.75,0,0,1582.75,0,0,0,11786.75,10019.25,0,0,3102.66666666667,0,2910.33333333333,1161.5,0,0,0,7937.75,4152.25,0,0,0,0,1843.25,0,7156.5,0,12986.75,0,6116.75,1132.25,0,0,7057.5,0,0,0,0
"FAM60A",6148.75,3887.5,18020.75,1824.75,0,11346.75,6710,30397.75,5958.5,0,0,0,1607.25,0,3473.25,13211,10391.75,11739,554.75,9184.5,17990.6666666667,10639,1957.5,14348,12840.75,4135.25,19665.75,2610.25,12230.25,7456,10698,2736.75,8352,7039.5,10010,7763,11551,4608.75,14554.5,5353.25,4198.25,4836.25,6624.75
"FAM63A",7323.5,704.5,637.75,367,679.5,131993.75,81297,1354.75,13005.75,10730.6666666667,42402.25,10996.25,10392.25,0,1368.75,10691.6666666667,2417.75,2871,2641.75,264593.25,4564.66666666667,3847.75,0,3107.75,1057.75,9084.25,699.5,3382.25,0,8356,2014.5,7734.5,4448.5,1775.5,598.75,373,3580.25,384.5,2199.75,5135.75,3300,6820.75,10759.25
"FAM65A",1461.25,2775.5,2292.75,1517,176,1756.5,386.5,1433.5,6147,3174.66666666667,3596.25,32477.25,21647.5,139.333333333333,263.25,135.666666666667,1067.75,624.666666666667,672.25,6635,1296.66666666667,469,8435.75,41361,2557.5,80,3446.5,490.5,1798.5,0,598.75,139.5,2354.25,666.75,1103.25,192.75,670,103.5,1257.5,48,288.75,304,0
"FAM65B",82350.75,131889.25,58263.75,77631.75,51981.5,115937.5,57256.25,14428.25,84074.5,17997,61664.5,168302.75,136914,13999.6666666667,77575.25,9917.66666666667,120417.75,2924,80047.25,194464.5,71469,101351,17373.25,72723.75,32429,111603.75,12030.25,110249.75,39192.75,89284,55732.5,105266.25,7986.25,99880,13621.5,125451.25,10975.75,130431.75,37329.5,102020,81358.75,108753.25,134031.5
"FAM65C",5117,0,2770,120.25,188,794,897,1154.5,1100,327,1020,1013.25,1143,1529.66666666667,419,398.333333333333,1245,720.333333333333,11874.5,0,1283.66666666667,0,824,2428.25,11230.75,14441.75,1604,1519.25,2077.75,53.75,116.75,1230.25,376.75,71,128.75,760.25,349.75,60619.25,197.5,5400.5,614.75,290.25,957.25
"FAM69A",11220,10014.5,16837.5,5553,0,0,16499.25,49886,32435,46259,9427.5,55639,33791.25,3564,4836.5,13219,10450.75,17440,5538.5,105173.75,15276.6666666667,3080.5,16753.25,10943.75,7313.75,6708,11016.25,6172,15347.5,4390,10728.75,6980.5,11217.25,6814,13185.75,7749,4608.75,6584,13145.5,13691.25,5649,4005.25,9904.25
"FAM76A",5188.75,4670.75,11564.25,1441.75,0,3168.25,1012.75,2315.25,4229.75,0,8437.5,12335.25,11821.75,8341.33333333333,3018.25,4984,5734.5,10452,3089.25,15379.75,6640.66666666667,1932.5,1618.25,9729.25,931.75,3655,1766.25,6700,2527.75,0,6924.75,4239.75,10593.5,4377.5,2347,6714.75,2625,3904.5,8816.5,5427.25,3930,3671.25,2461.75
"FAM76B",24019.75,17763,30021.5,17378.25,29895.5,9028.25,15475.5,22555.25,16326.25,33135,7506.5,11173.75,9712,15621.3333333333,4906.5,6277.33333333333,7421.75,4219,5864.25,7286.5,8654.66666666667,4855.75,27101.75,14365.25,12265,10117.25,6021.25,8904.5,7156.25,5813.5,3631.25,8291.5,8602.25,6516.5,4322,12204.5,4968.75,7723.25,5455.25,10747.75,9582.75,10319,7428
"FAM78A",8845.75,1292,15039.5,581.25,0,0,0,17826.5,3476.25,15534.3333333333,10592.75,16050,20131.75,0,11848.75,2134.33333333333,3247.25,5532.33333333333,8213.5,25713.25,10649.6666666667,8546.5,2982,4194.75,4094.75,5041.75,8353,8044.25,10571,915.25,5004.75,9368.75,4276.25,6196.5,5680.5,10156,2027.25,13617.75,1975,5596.5,5165.5,11597,5000.25
"FAM83D",29458.75,1292,37572.25,0,12855.75,0,0,0,628.25,0,0,0,28056.25,0,0,25167,0,13092,1369,81205.5,16028,0,1108,0,40702.25,0,19203.75,0,19063.75,52292.75,19273.5,0,41767.5,3681.5,33238,0,11975,2713.5,20177.5,13433.5,0,0,0
"FAM84B",0,0,0,0,0,430,0,0,0,0,4000.25,0,6471.25,0,2197.25,0,1520,0,0,0,0,1846.25,0,888.75,0,456,0,0,0,1071.25,0,752.75,0,1992,0,1542,860.5,1712.5,0,1193.75,1654.75,0,2901.25
"FAM8A1",2775.25,0,0,0,0,1827.5,0,4127.25,297.5,0,1909,1735,2354.5,0,736.25,2709,190,3145,1144.5,0,4511.66666666667,0,1904.75,364,5894.5,65.5,0,0,0,0,401,0,1866.25,116.75,740.5,443,652.5,1108,224.25,0,228.75,172.25,0
"FAM91A1",35120.5,12003,43905.75,7807.25,2553.5,17238.75,8181.5,33763.75,35563.75,34249.3333333333,24310.5,70971.5,68111.75,1195,9090.75,25304.3333333333,15423.25,27865,11769.25,10732.25,32683.3333333333,7241.5,21548.25,34880.75,42128.75,9926,49307.5,10142.75,32202.5,6351.75,23183,6516.5,29078,6524.75,20304.5,9438.25,12982,13759.5,21153.25,6531.5,5769.25,8028.75,8853
"FAM96A",89628.75,31274.25,115607,20584.25,48437.75,45952,20159,95049.25,97658.25,107095,83122,170194.75,102894.5,3368.66666666667,8433.25,31981.3333333333,13526.75,24838.3333333333,10101.75,714094,60459.3333333333,12558.75,64859.5,127352.5,51852.75,19176.75,73604.5,38181.75,53552.25,31433,44605.25,9700,44938.5,16312.75,35832,15365.75,28588.75,18664.25,39797.5,15555.5,5940,15013.75,18182.5
"FAM96B",136686.25,33606.75,150479.75,23153.5,47561.5,28897.5,21830.75,123283.25,102588.25,121575,54767.25,135190.75,110046.5,41298.6666666667,72252.5,62663.6666666667,31821,78619.3333333333,36655,0,260293.666666667,36186.5,56546.75,76190,154314.25,59522.5,292960,43419.75,209947.25,56616,113210,34632.75,103612.75,35269.75,95158.75,58873,63726,66050.25,89149,41687.5,20244.5,55190.5,95940.75
"FAM98A",135504.5,16651.75,154665,5556,35938.75,6795.75,1393.75,34699.25,24181,13739.3333333333,20757,33167.75,32826.75,8037.66666666667,16118.25,31382.3333333333,19189,57592,11795.25,25988.25,106096,12861.25,30194.75,20179.75,115585,20028.75,180776.5,17081.25,177886.75,8403.75,60784,21785.5,75625.75,16445.5,68601,17216,43514,15386,72415.5,20021.5,13164.75,27991.25,27630.25
"FAM98B",275272.25,215616.75,309508.75,122188.5,78072.25,185111.75,149419.5,215700,292143,132088,263026,361091.5,342754.5,77396,230909.25,171020.333333333,235311.75,177304.666666667,145043.25,488979.5,302058,169796.75,204620.5,355595.75,309899,317177.25,460597.25,276330,323035.25,158805.5,221865.5,293525,279461,231921.5,247795.5,282689.75,181098.75,249528,249345.75,318117.5,142726,264842.5,285739.25
"FAM98C",2921,12463,1273,3162,5968.5,9638.25,10197.75,13485.5,13747.5,171186.666666667,10690.25,28092.25,23564.5,2140.66666666667,7011.5,11035.3333333333,17107.25,7839,15443.25,56738.75,0,5710.25,8167.75,19773.25,4291.25,8209,6584.5,13181.5,0,5452.75,7669,7681.25,8032.75,9791,5427.25,22925.25,1171.25,24891.75,13294.75,9318,5660.75,5733.75,6058.5
"FANCD2",5152.75,66.25,29369.5,813.5,1254.5,195.5,653,407.25,1586.5,925,659.25,1034.75,711.25,816.333333333333,387.75,15677,196.25,35611.6666666667,94,18414,62673.3333333333,1323.5,644.5,321.25,56005.25,27,64931.5,111,50573.25,0,18874.5,115.75,25815.75,315.75,48350.75,61.75,22044.75,181.75,23443.5,40.75,22,153.5,72.75
"FANCG",10363.25,0,1542,0,0,1130.5,18855.5,0,4361,0,0,15395,0,0,4345.25,2179.66666666667,5118,5477,2528.75,8020,2484.66666666667,4007,0,2976.25,8165.25,0,3966.5,0,15026.25,0,0,0,0,0,3802.25,5154.25,0,4479,1096.75,436.75,881.75,0,0
"FANCI",30674,1223.5,88717.5,914.25,74.5,237.75,3963.75,626.25,15370.5,8348.66666666667,15548.5,19523.75,15399.25,417,2037.5,177864,2238.75,100518,1592.25,24867.5,164241.666666667,84.75,145.5,588.25,166744.25,1240.5,225116.5,3154.75,170827.25,261.75,243959.5,88.5,98914,240,181739.75,212.25,58627.75,3676.25,213114.5,190,78.25,239.5,137
"FAR1",17996.75,4336.75,16111.75,2295.5,2351,4751.5,2113.25,16500.25,33371,11531.3333333333,50850,67401.75,117966,0,5156.25,68312,9126.75,67893.3333333333,8816.5,11066.5,33861,2181.5,4681.5,21445,57473.25,3567.25,47409.75,3238.5,51042.75,214.25,48922.5,2112.25,30192.5,2365.25,47532.75,6891.5,32197.5,10773.75,43145.5,4126.75,1936.25,3376.75,3393
"FAR2",0,283.5,535.5,0,0,0,669.5,2330.75,0,2450.33333333333,13110.5,3709.25,0,0,0,1335,263.75,1622.66666666667,3089.75,2745.75,1308,0,797.5,260.75,3875.25,0,2082.25,0,2107.25,448.75,678.75,0,438,0,754.75,0,2673.5,205.75,613.25,286.75,0,0,0
"FARP2",0,0,0,0,0,0,0,7253.5,598.25,1851,413.25,2030,1536,0,116.5,2860,0,734.333333333333,0,1354,2242.33333333333,0,5961,2190.75,1450.5,768.25,0,927.25,161.75,0,2057.75,0,2607.75,0,994.75,281,664.25,145.75,1676.25,180.25,0,448.5,0
"FARS2",30653.25,14150,30917.5,6895,13065,5353.75,1584,12161.75,24000.75,17443,11826.5,36715.75,33518.5,2565.33333333333,20711.25,5316.33333333333,16855.75,16789.6666666667,9659.5,25762.75,27626,12595,7373.75,12384,21180,13045.5,44483.75,17118,38783.75,10044,8116,9701.25,26033.75,20744.25,23847,17558.5,14163.75,16235.5,15848.25,16282.75,11903.5,15194.25,13870
"FARSA",473124,167016,577502.75,106689.25,97056.5,124344,43038,278466.75,310223.75,181247.666666667,280474.5,324495,265539.5,116056,225664,175875,199014.25,193334,114622,214740,513767,200122.5,178116,290040.25,524126.75,184525,718331,186258,496521,107974,337285.5,182306.5,440690.75,176309,331457.5,187120,199569,195871.25,340638.75,273264,128479.75,201880,169018.25
