"","B_CELL_NAIVE","CD4_NAIVE","CD4_STIM","CD8_NAIVE","CD8_STIM","M2","MONOCYTES","NK","TFH","TH1","TH17","TH2","THSTAR","TREG_MEM","TREG_NAIVE"
"MARCKS",86.6989578766293,1.31199395641014,5.77744773935725,1.06641287461122,1.76658271598987,390.023013900095,270.383615655519,0.753632244378724,0.549677885536721,0.0357317366628798,0.0408141481305865,0.0865612781652211,0.0495237605499135,0.629144535375846,1.37457004878648
"CLEC12A",0.170846535537047,1.17233847632723,0.196640231904941,1.01286973286178,0.150566704766724,560.267149780505,415.16135110534,11.32877949984,0.97712247365555,0.0706582283693038,0.0373103664480808,0.0859549808920077,0.048499181698074,1.11910528173439,1.13894856205524
"IL2RB",0.210817305229132,32.5202481805631,231.185113630806,111.052280707387,266.615846591833,5.04768223986842,0.69350510043697,2940.90465688743,211.785494865962,257.009184749047,124.889408441462,111.205764475566,142.972315515974,576.645966108654,265.466429858529
"TNFAIP2",0.305743739268566,1.8497001525604,1.77165444553074,1.88516231375833,1.97882549115682,361.829835796124,895.082849396217,1.81688472501843,3.23093996721738,0.0883222577629914,0.132711472158036,0.176941610851367,0.0738735905660423,3.51606462257553,2.66106614232347
"IRF4",186.057432708198,38.0741203070417,6413.10738818049,12.0709504735748,5018.15424571804,16.6872815031546,15.620294254002,38.2305505601545,16.9535440702451,26.937340577183,19.2721858047608,20.1772236525928,13.1688605488429,131.507533938882,69.8721852688471
"HLA-DRB1",2000.8641536804,14.8465506506929,11.2146766057339,15.9943640798772,11.0608641236514,939.024294659581,1748.72670394924,81.7869609402143,27.6690348175902,29.7648828569912,35.402014701416,36.1687068674142,7.49563126201876,288.496178754353,15.7665546920718
"BTK",256.438965843283,1.18387136611633,0.454956301268563,0.963703668897144,0.511872492579581,244.455810055086,103.342167356841,1.28198751187476,0.587931018563972,0.0351607468248048,0.043898852096301,0.0585043516266404,0.0405434326807731,0.68353297029239,0.538546642266633
"LY86",309.889188932821,9.81415249993738,0.898225549277274,10.7477664384202,0.944512559633569,144.790155670479,593.655717455208,3.78923085560528,2.42746768353873,1.27001409508937,0.471734725138933,0.692161931588404,1.01614527287221,2.21825749607378,4.0679971326363
"CD8B",0.059476514819283,7.93876234433618,1.53391535182996,1289.74195874162,344.745120277118,0.339135503407333,0.393404019903081,8.34504780734476,2.97991243715037,0.708510875200577,0.350502905375115,0.625463094354731,0.329464389825865,4.40397451713645,11.314139466953
"CPVL",0.3383716063962,2.60979280762793,0.176012005557667,1.92057383556965,0.129020100909868,267.132982040705,863.989366841302,1.7462318933635,2.08448199704813,0.325661776197128,0.257891887458303,0.369024306717268,0.290132940287892,2.67940105780803,2.07335832490535
"TBX21",2.99873160461803,1.51909182430145,352.031603700372,4.79493734664091,469.345184445461,0.951750635314831,0.215638699430844,633.5547843402,19.6266842248381,97.0424052319221,7.23228604414163,8.99146089207048,55.9741053978769,22.9809283380606,3.03644194088827
"TCF7",1.05957631206956,452.759757592019,120.320694718213,410.484390361769,188.593021918951,0.421703630614952,0.399723248008208,25.9040772083645,498.099995833702,321.143444725769,264.911756866577,309.894288604894,220.636154585817,107.937566204196,343.964151929596
"GNLY",0.134547327439875,3.31395703543901,2.18914853948863,10.4980006413872,4.7682452250078,4.23021213434227,2.43840142821816,3893.48013909648,5.17862287092771,184.062578612546,1.25266971756004,2.27072311286888,43.9468438721131,4.76921720968864,3.81030636370932
"KCNE3",0.170587585330274,0.996805375152078,0.104932815650137,0.791483514242202,0.0847633874159118,428.850163897914,401.236198253443,1.46468064307898,1.24147881486486,0.0236873124065385,0.0445348341884327,0.134053098217212,0.0482395872964423,1.20300832004553,0.967270324761981
"TNFSF14",0.0857447714996415,1.30121539117253,1203.99195450305,2.0849196338106,912.537067515402,0.299902785186724,4.09658143898726,30.6422083310429,5.09001368990298,8.83199900380692,8.91399084906038,6.31439572663346,10.6169720364968,9.50393950102942,2.43969919544313
"CSF1R",0.386301293729264,0.852825170686184,0.180782935524855,0.869687588259288,0.199364782536556,903.494484972143,199.063756993396,2.67717193069541,1.50754309072714,0.396506516699173,0.315362014700881,0.355377135061618,0.285608766256181,1.67726524975184,1.13887985304774
"LILRB2",1.16174775757371,0.751141204107463,0.185272137904613,0.708420366294016,0.132400322429977,615.464125538676,282.448868507274,2.16104619932783,1.30908250143348,0.0288640481745519,0.0208325713727298,0.049163471247051,0.0129079407444231,1.43915664888486,1.02192935343323
"CD300LF",0.530098463777985,0.760507933594214,0.0309468129273696,0.724823700010135,0.0488714272868549,547.302897336305,289.128192285802,1.68319774239044,1.0402503224249,0.0325143549190635,0.0169750671162702,0.0511967352869962,0.0380366956421635,1.25162249754318,0.948184697028221
"ADAM19",527.634107843943,4.26250599954709,29.4822195968652,2.38073178839112,2.56282784882637,0.355180422561804,35.2178654889198,1.25956317751329,131.473670959103,147.023425666099,258.297381260346,282.898825978548,208.083690850213,177.515872703933,7.2717520940567
"SH2D1A",0.105811760912717,251.450798727612,258.866668246343,195.864604204587,206.951525175127,2.08104923900281,0.36007953668217,485.995329613667,312.971690554538,312.682046403029,240.087515095529,296.920837056356,337.28221625251,285.685805778683,214.643473105481
"FGL2",4.95649023690917,10.169920326293,47.2075267192754,6.41880735621145,11.9468844770416,1616.47997486966,1382.77352832171,122.337883868829,12.1473214424424,15.0268754647978,14.6597904319776,20.5026440428661,13.8319421172054,32.6320999175883,21.6988002871989
"HMOX1",0.475998630083193,0.598518248150112,0.543135083309705,0.66588868211351,0.648366575405474,745.740146313657,197.940990567651,12.4805542835211,1.25602509027521,0.15896998855349,0.0641416322829875,0.140738054753439,0.0313913874328337,3.41990908689663,0.93014066357274
