gene,1,2,3,4,5,6,7,8
AGPAT4-IT1,105,91,41,66,36,47,77,59
AGPAT5,644,1046,853,956,658,910,1006,811
AGPAT6,10275,10223,8867,11309,10564,10039,8161,11085
AGPAT9,353,186,360,241,290,104,352,280
AGPHD1,217,120,155,163,135,122,214,164
AGPS,2886,3897,3180,4149,2701,4064,3447,3718
AGR2,0,0,0,0,0,0,0,0
AGR3,0,0,0,0,0,0,0,0
AGRN,1059,702,485,523,518,502,685,732
AGRP,9,7,11,18,5,10,17,2
AGSK1,0,0,0,0,0,0,0,0
AGT,0,0,0,0,0,0,0,0
AGTPBP1,5929,8470,6523,8498,5917,7129,6112,6814
AGTR1,0,0,0,0,0,0,0,0
AGTR2,0,0,0,0,0,0,0,0
AGTRAP,1566,1205,868,1043,1354,1054,807,1220
AGXT,0,0,0,0,0,0,0,0
AGXT2,0,0,0,0,0,0,0,0
AGXT2L1,0,0,0,0,0,0,0,0
AGXT2L2,9159,8774,8078,10369,8734,8824,8028,9860
AHCTF1,9197,10479,7614,10147,8605,9547,10225,9274
AHCTF1P1,609,679,505,657,525,530,625,612
AHCY,3400,2600,2871,3635,2938,2658,1957,2983
AHCYL1,3958,4197,3646,4820,4296,3741,3789,4978
AHCYL2,2694,2367,2053,2709,2528,2137,2084,2530
AHDC1,4594,2974,3732,3588,3407,2958,3042,4628
AHI1,1127,1542,1114,1578,1079,1564,789,818
AHNAK,266033,253013,341966,318577,241849,238209,252202,266727
AHNAK2,0,0,5,8,0,0,3,13
AHR,5908,7868,6960,9991,6878,8492,7300,8758
AHRR,25,51,69,56,100,105,46,78
AHSA1,3384,3016,3528,4294,3496,3087,2918,4004
AHSA2,14714,15065,11311,13843,15231,14661,12170,13173
AHSG,0,0,0,0,0,0,1,0
AHSP,0,0,0,1,0,0,1,0
AICDA,0,0,2,4,0,0,3,1
AIDA,6199,8746,7150,9451,6672,9338,7310,8642
AIF1,862,807,888,1041,937,891,1241,1352
AIF1L,16,5,77,45,25,44,9,21
AIFM1,2180,2347,2193,2569,2236,2158,1723,2362
AIFM2,463,593,374,605,441,509,310,407
AIFM3,36,42,16,12,10,19,39,15
AIG1,658,519,502,516,480,520,700,517
AIM1,11640,13502,9207,13148,10114,11638,11479,11016
AIM1L,335,310,323,433,405,426,489,506
AIM2,140,376,175,335,336,379,202,325
AIMP1,4987,5501,5491,6596,4947,6378,4783,5425
AIMP2,293,314,198,356,125,196,221,266
AIP,8799,7960,7501,8882,6660,7083,6450,8490
AIPL1,4,0,5,0,0,0,2,0
AIRE,110,88,135,144,126,174,92,157
AIRN,0,5,0,2,0,4,1,12
AJAP1,0,0,1,0,2,0,6,2
AJUBA,136,55,110,100,207,74,125,75
AK1,3563,3394,3972,5289,4546,5442,3645,4886
AK2,6810,7005,6965,7795,7568,7074,6689,8859
AK3,2815,3085,2918,3251,2748,3617,3105,3163
AK4,68,37,51,55,74,68,59,80
AK5,3743,2259,3782,3881,3263,2765,3946,4314
AK7,0,13,4,8,0,3,0,5
AK8,6,4,0,0,4,0,0,0
AKAP1,4007,3795,3336,3879,3470,3384,3510,4521
AKAP10,6165,6316,5927,7719,5953,6133,5528,6075
AKAP11,6866,8374,7549,9992,8535,9552,9669,9517
AKAP12,77,60,275,273,221,102,63,75
AKAP13,41890,38792,37630,47612,34520,34501,33474,41270
AKAP14,0,11,16,6,8,1,1,8
AKAP17A,20711,18895,17352,21824,18461,19704,18113,24057
AKAP2,13,29,30,34,26,31,8,23
AKAP3,104,99,122,165,134,85,90,125
AKAP4,0,0,0,0,0,0,0,0
AKAP5,91,89,39,69,47,120,123,73
AKAP6,121,84,126,83,99,99,126,141
AKAP7,903,1218,1377,1582,1206,1424,1628,1312
AKAP8,8615,8256,7034,9594,7070,7879,7276,8393
AKAP8L,10929,11190,9601,11532,9730,9819,9698,11553
AKAP9,11248,14825,10697,14626,11241,15130,16908,13319
AKD1,733,956,656,818,1088,911,944,872
AKIP1,428,642,705,743,598,678,378,733
AKIRIN1,8825,10234,8883,12273,10267,11225,9175,12088
AKIRIN2,4748,4850,4354,5387,4071,4980,4018,4848
AKNA,60501,53922,47841,54870,54914,50709,46887,60021
AKNAD1,0,0,0,0,2,0,0,0
AKR1A1,3214,2645,2789,3325,2928,2666,1993,2959
AKR1B1,4564,4154,4598,4799,4420,4376,3791,4641
AKR1B10,0,0,0,0,0,0,0,0
AKR1B15,0,0,0,0,0,0,0,0
AKR1C1,234,248,43,42,193,185,65,79
AKR1C2,47,173,594,616,168,247,40,23
AKR1C3,192,447,158,391,206,281,111,181
AKR1C4,14,17,6,7,22,24,6,21
AKR1C6P,3,9,3,6,21,15,17,3
AKR1CL1,63,97,24,46,38,47,5,10
AKR1D1,0,0,0,0,0,0,0,0
AKR1E2,573,351,353,452,407,382,156,129
AKR7A2,1723,1596,1847,1817,1656,1542,1563,1936
AKR7A2P1,15,30,2,24,5,21,26,23
AKR7A3,106,72,33,80,49,119,44,69
AKR7L,98,69,13,104,45,77,58,54
AKT1,13435,12249,12162,14347,12278,12110,9304,13352
AKT1S1,1786,1679,1515,1738,1431,1683,1469,1861
AKT2,16045,13815,13354,15907,13954,14189,12983,17554
AKT3,2822,3164,3533,3629,3138,3166,3898,3557
AKTIP,3141,3435,2779,3852,3025,3135,3674,3936
ALAD,4564,4067,3711,4369,4431,3939,3571,4378
ALAS1,1027,1016,931,1121,982,881,803,1075
ALAS2,24,36,25,31,39,25,38,29
ALB,0,19,0,0,0,18,8,17
